nse_symbol,yahoo_symbol,company_name,yahoo_sector,sector_index_name,sector_index_symbol
ALKEM,ALKEM.NS,Alkem Laboratories Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ALLCARGO,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,NIFTY INFRA,^CNXINFRA
ALLDIGI,ALLDIGI.NS,Alldigi Tech Limited,Industrials,NIFTY INFRA,^CNXINFRA
ALLTIME,ALLTIME.NS,ALLTIME,Consumer Defensive,NIFTY FMCG,^CNXFMCG
ALMONDZ,ALMONDZ.NS,Almondz Global Securities Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
ALOKINDS,ALOKINDS.NS,Alok Industries Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ALPA,ALPA.NS,Alpa Laboratories Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
ALPHAGEO,ALPHAGEO.NS,Alphageo (India) Limited,Energy,NIFTY ENERGY,^CNXENERGY
AMANTA,AMANTA.NS,AMANTA,Healthcare,NIFTY PHARMA,^CNXPHARMA
AMBER,AMBER.NS,Amber Enterprises India Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AMBICAAGAR,AMBICAAGAR.NS,Ambica Agarbathies Aroma & Industries Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
AMBIKCO,AMBIKCO.NS,Ambika Cotton Mills Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AMDIND,AMDIND.NS,AMD Industries Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
AMJLAND,AMJLAND.NS,AMJ Land Holdings Limited,Real Estate,NIFTY REALTY,^CNXREALTY
AMNPLST,AMNPLST.NS,Amines & Plasticizers Limited,Basic Materials,NIFTY METAL,^CNXMETAL
AMRUTANJAN,AMRUTANJAN.NS,Amrutanjan Health Care Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
ANANTRAJ,ANANTRAJ.NS,Anant Raj Limited,Real Estate,NIFTY REALTY,^CNXREALTY
ANDHRAPAP,ANDHRAPAP.NS,Andhra Paper Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ANDHRSUGAR,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ANGELONE,ANGELONE.NS,Angel One Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
ANIKINDS,ANIKINDS.NS,Anik Industries Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
ANMOL,ANMOL.NS,Anmol India Limited,Energy,NIFTY ENERGY,^CNXENERGY
ANTELOPUS,ANTELOPUS.NS,ANTELOPUS,Energy,NIFTY ENERGY,^CNXENERGY
ANTGRAPHIC,ANTGRAPHIC.NS,Antarctica Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ANTHEM,ANTHEM.NS,ANTHEM,Healthcare,NIFTY PHARMA,^CNXPHARMA
ANUHPHR,ANUHPHR.NS,Anuh Pharma Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
ANUP,ANUP.NS,The Anup Engineering Limited,Industrials,NIFTY INFRA,^CNXINFRA
ANURAS,ANURAS.NS,Anupam Rasayan India Ltd,Basic Materials,NIFTY METAL,^CNXMETAL
APARINDS,APARINDS.NS,APAR Industries Limited,Industrials,NIFTY INFRA,^CNXINFRA
APCL,APCL.NS,Anjani Portland Cement Limited,Basic Materials,NIFTY METAL,^CNXMETAL
APCOTEXIND,APCOTEXIND.NS,Apcotex Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
APEX,APEX.NS,Apex Frozen Foods Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Limited,Basic Materials,NIFTY METAL,^CNXMETAL
APLLTD,APLLTD.NS,Alembic Pharmaceuticals Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
APOLLO,APOLLO.NS,Apollo Micro Systems Limited,Industrials,NIFTY INFRA,^CNXINFRA
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
APOLLOPIPE,APOLLOPIPE.NS,Apollo Pipes Limited,Industrials,NIFTY INFRA,^CNXINFRA
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
APOLSINHOT,APOLSINHOT.NS,Apollo Sindoori Hotels Limited,Industrials,NIFTY INFRA,^CNXINFRA
APTECHT,APTECHT.NS,Aptech Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
APTUS,APTUS.NS,Aptus Value Housing Finance India Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
ARCHIDPLY,ARCHIDPLY.NS,Archidply Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ARCHIES,ARCHIES.NS,Archies Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Limited,Industrials,NIFTY INFRA,^CNXINFRA
ARENTERP,ARENTERP.NS,Rajdarshan Industries Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ARFIN,ARFIN.NS,Arfin India Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ARIES,ARIES.NS,Aries Agro Limited,Basic Materials,NIFTY METAL,^CNXMETAL
ARIHANTCAP,ARIHANTCAP.NS,Arihant Capital Markets Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
ARIHANTSUP,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,NIFTY REALTY,^CNXREALTY
ARISINFRA,ARISINFRA.NS,ARISINFRA,Industrials,NIFTY INFRA,^CNXINFRA
ARKADE,ARKADE.NS,ARKADE,Real Estate,NIFTY REALTY,^CNXREALTY
ARMANFIN,ARMANFIN.NS,Arman Financial Services Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
AROGRANITE,AROGRANITE.NS,Aro Granite Industries Limited,Industrials,NIFTY INFRA,^CNXINFRA
ARROWGREEN,ARROWGREEN.NS,Arrow Greentech Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ARSSBL,ARSSBL.NS,ARSSBL,Financial Services,NIFTY FIN SERVICE,^CNXFIN
ARTEMISMED,ARTEMISMED.NS,Artemis Medicare Services Limited,UNKNOWN,UNKNOWN,NO_INDEX
ARTNIRMAN,ARTNIRMAN.NS,Art Nirman Limited,Real Estate,NIFTY REALTY,^CNXREALTY
ARVIND,ARVIND.NS,Arvind Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ARVINDFASN,ARVINDFASN.NS,Arvind Fashions Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
ARVSMART,ARVSMART.NS,Arvind SmartSpaces Limited,Real Estate,NIFTY REALTY,^CNXREALTY
ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
