symbol,rsi_daily,rsi_weekly,rsi_monthly,ENTRY_READY
GOKEX,24.97,30.8,39,False
ACEINTEG,30.28,30.78,28,False
EVEREADY,50.02,43.46,48,False
GOYALALUM,56.46,53.96,43,False
SAKSOFT,35.71,40.21,41,False
HPIL,44.88,46.54,41,False
ALLDIGI,61.36,50.12,44,False
SUKHJITS,62.21,54.4,42,False
IIFL,42.51,52.78,49,False
GODFRYPHLP,19.99,30.29,52,False
SHOPERSTOP,37.36,30.86,23,False
MANGALAM,32.68,30.03,32,False
WELCORP,34.39,36.66,50,False
SSWL,53.29,46.13,41,False
NH,41.12,47.75,58,False
AMBER,31.43,32.27,50,False
SURYALAXMI,43.76,32.13,40,False
SHAHALLOYS,41.21,46.64,48,False
GLAND,58.28,51.76,50,False
JKPAPER,35.35,37.53,43,False
PRIMESECU,45.08,48.99,59,False
63MOONS,41.13,39.37,51,False
GRANULES,53.78,58.98,60,False
JSWHL,46.16,47.17,59,False
MANINDS,31.57,40.07,44,False
DCXINDIA,51.78,36.54,35,False
GEOJITFSL,41.37,38.54,46,False
FMGOETZE,38.16,40.79,52,False
GENUSPOWER,43.97,41.43,49,False
SWELECTES,21.36,31.79,44,False
YESBANK,44.35,49.74,48,False
MSPL,37.15,43.24,48,False
NECLIFE,39.34,40.23,37,False
FUSION,58.87,53.47,24,False
SPLIL,26.49,31.22,31,False
MEDANTA,32.93,34.4,44,False
KANSAINER,42.81,41.42,34,False
SEMAC,17.07,22.02,24,False
BIKAJI,35.72,36.26,50,False
GOLDIAM,38.47,38.86,54,False
RML,42.3,39.57,49,False
SASKEN,32.68,34.76,44,False
ICIL,36.59,40.72,46,False
SYNCOMF,38.56,33.12,43,False
FCSSOFT,22.84,23.62,16,False
FAZE3Q,31.87,38.22,43,False
IMPAL,61.47,55.09,53,False
SUZLON,38.75,37.23,47,False
AURIONPRO,32.33,31.16,42,False
ACI,49.45,42.71,47,False
RENUKA,45.96,38.46,35,False
FIVESTAR,25.06,31.06,34,False
BASML,44.6,40.61,36,False
SCPL,67.22,59.54,51,False
KAYNES,29.8,25.02,45,False
DOLATALGO,49.24,45.84,48,False
DELTAMAGNT,38.59,36.33,40,False
BBTCL,41.66,47.86,40,False
HNDFDS,33.91,35.63,42,False
INOXGREEN,35.76,42.72,52,False
RUSTOMJEE,43.18,35.7,34,False
GRASIM,54.99,54.07,61,False
GREAVESCOT,31.88,34.64,47,False
ZIMLAB,47.28,41.78,40,False
GSFC,59.44,47.02,39,False
SWSOLAR,34.31,28.46,30,False
VINNY,23.46,32.18,30,False
CASTROLIND,39.44,37.33,49,False
PRECAM,43.32,38.4,42,False
GUJALKALI,25.06,29.51,34,False
MBAPL,53.47,54.98,64,False
AMBUJACEM,35.62,36.95,43,False
TEAMLEASE,26.03,25.34,33,False
DJML,49.23,37.7,50,False
ROUTE,38.36,19.52,23,False
KRISHANA,44.68,50.04,65,False
GFLLIMITED,29.67,32.63,36,False
SARVESHWAR,35.94,23.61,40,False
ABB,67.86,56.34,55,False
DHARMAJ,50.37,40.51,48,False
SAFARI,43.24,44.75,49,False
UNIPARTS,43.02,52.24,48,False
360ONE,53.06,53.64,65,False
TRIVENI,61.02,55.29,54,False
AIAENG,66.38,69.45,55,False
EKC,37.31,36.5,44,False
VIMTALABS,16.27,32.81,50,False
NAHARINDUS,39.31,36.6,42,False
ORIENTCER,56.17,55.34,47,False
QUICKHEAL,15.02,26.08,36,False
KERNEX,55.73,54.47,60,False
REPRO,32.43,35.45,35,False
HARRMALAYA,40.48,29.67,46,False
PVRINOX,38.76,40.53,39,False
GALAXYSURF,18.11,28.15,36,False
CELEBRITY,30.9,28.1,30,False
NITINSPIN,52.91,47.04,47,False
ROHLTD,30.89,36.16,47,False
ENIL,33.93,27.86,37,False
GSPL,54.45,48.66,46,False
JAGRAN,32.68,35.92,39,False
SULA,15.43,22.33,16,False
SADBHAV,25.28,29.04,37,False
SAKUMA,27.21,30.03,35,False
KEC,44.57,37.16,48,False
HCL-INSYS,43.16,37.98,35,False
JKCEMENT,44.16,42.3,55,False
INDOTECH,38.37,36.4,50,False
LANDMARK,27.05,34.28,35,False
MARINE,37.05,41.92,53,False
M&MFIN,64.89,71.66,67,False
AFSL,42.27,41.05,44,False
BLKASHYAP,42.43,32.93,43,False
NITCO,41.35,31.91,51,False
CENTURYPLY,60.47,55.19,53,False
KEI,49.12,51.03,59,False
HDFCBANK,34.07,40.52,60,False
SOLARINDS,52.09,48.14,62,False
GALLANTT,35.77,43.93,58,False
VAKRANGEE,38.2,31.34,37,False
MALUPAPER,27.65,35.1,32,False
KFINTECH,41.93,41.93,55,False
HEG,49.71,53.94,58,False
SGL,22.79,29.12,39,False
UTTAMSUGAR,42.45,37.65,37,False
SDBL,26.02,22.83,39,False
KKCL,34.85,37.22,34,False
BHAGERIA,55.17,48.6,52,False
SUNTV,52.16,47.31,46,False
GPIL,51.07,54.53,62,False
RSYSTEMS,44.51,42.78,44,False
ELIN,34.72,37.31,47,False
KELLTONTEC,30.57,29.16,41,False
LOKESHMACH,54.84,47.32,38,False
BALPHARMA,28.77,25.66,34,False
RATNAMANI,49.75,40.53,33,False
KAMDHENU,35.2,28.85,29,False
PIONEEREMB,37.0,29.56,34,False
HEROMOTOCO,40.14,54.2,60,False
JKLAKSHMI,46.17,41.35,43,False
PFOCUS,64.03,68.3,70,False
AKASH,39.23,39.58,37,False
MUNJALAU,33.15,37.29,43,False
EMAMILTD,36.68,35.4,47,False
NECCLTD,22.45,22.13,37,False
GMRAIRPORT,40.45,49.85,56,False
VIDHIING,36.56,34.3,39,False
TECHM,72.25,70.06,66,False
AVONMORE,26.84,35.92,50,False
GRINDWELL,46.69,43.99,39,False
RAMANEWS,51.65,49.24,58,False
VOLTAMP,47.97,45.88,48,False
RADIANTCMS,28.21,28.31,31,False
ACE,37.5,34.38,44,False
ANDHRSUGAR,40.14,39.78,37,False
HIMATSEIDE,41.36,36.05,39,False
IRCTC,38.26,28.5,30,False
ANANTRAJ,40.41,41.06,53,False
BILVYAPAR,18.51,28.59,38,False
HINDALCO,64.54,76.77,72,False
SKYGOLD,36.68,44.88,60,False
JMFINANCIL,36.93,38.19,51,False
ELECON,36.39,32.99,41,False
TALBROAUTO,45.68,41.16,47,False
ALICON,29.91,31.96,42,False
GEECEE,33.45,35.59,49,False
MADHUCON,34.74,31.06,40,False
NRL,28.52,31.52,42,False
AERONEU,38.1,34.93,39,False
INFOMEDIA,36.17,38.38,46,False
VISHWARAJ,34.39,25.18,31,False
FIEMIND,47.99,58.57,70,False
HINDCOMPOS,29.35,34.87,46,False
JHS,46.08,39.32,30,False
DCBBANK,64.23,72.85,67,False
INSPIRISYS,42.78,40.11,45,False
GLOBALVECT,35.28,34.76,50,False
SHYAMTEL,36.06,34.12,48,False
GTLINFRA,16.08,22.0,40,False
HCC,48.64,39.72,38,False
FLUOROCHEM,31.67,31.58,43,False
NAUKRI,33.71,37.84,53,False
MANOMAY,51.97,60.79,57,False
SHIVAMAUTO,36.47,34.17,39,False
BBL,56.51,46.0,51,False
GESHIP,70.61,67.8,62,False
TORNTPOWER,62.98,56.09,57,False
PARSVNATH,22.59,29.57,37,False
BAIDFIN,59.91,52.96,30,False
MANALIPETC,41.27,41.19,43,False
SUTLEJTEX,40.91,33.96,34,False
GREENPANEL,42.64,39.09,36,False
KAMOPAINTS,16.92,19.69,25,False
LTFOODS,45.16,41.65,58,False
RUCHIRA,41.19,39.39,39,False
SOBHA,45.67,46.87,50,False
DONEAR,42.46,39.97,44,False
MMFL,61.93,62.75,53,False
VENUSREM,76.43,77.18,77,False
AARTIPHARM,49.98,45.71,56,False
KUANTUM,22.83,23.93,30,False
JINDRILL,34.74,31.12,38,False
BANCOINDIA,38.63,45.04,56,False
HIRECT,34.64,40.42,55,False
CREST,44.99,44.57,43,False
PLASTIBLEN,29.65,27.3,34,False
NFL,45.65,39.81,41,False
HINDUNILVR,49.1,46.83,50,False
PARACABLES,39.65,29.31,27,False
TANLA,46.56,38.82,32,False
JASH,36.01,33.39,46,False
ZEEMEDIA,36.97,28.81,38,False
AVTNPL,48.0,45.32,40,False
LUMAXTECH,46.2,57.63,69,False
VEEDOL,30.47,34.87,47,False
HINDOILEXP,57.09,46.98,46,False
SARLAPOLY,57.3,46.0,54,False
SANGHVIMOV,44.39,44.8,47,False
HINDPETRO,38.06,48.88,59,False
WANBURY,46.85,42.79,51,False
SAGCEM,36.16,36.74,37,False
IGPL,33.52,34.11,42,False
SIYSIL,23.32,32.53,46,False
PTL,59.56,52.99,45,False
AUTOIND,63.77,52.39,38,False
NETWORK18,36.77,28.43,26,False
GANDHITUBE,42.48,42.94,48,False
AGI,28.85,26.85,43,False
PITTIENG,43.54,36.89,50,False
SBGLP,55.33,41.25,42,False
GLOBAL,62.39,67.0,45,False
BTML,51.63,47.22,18,False
UNOMINDA,44.36,49.27,62,False
NSLNISP,54.28,51.94,39,False
NINSYS,31.4,24.92,33,False
TIMKEN,38.28,46.14,47,False
HUBTOWN,31.44,32.01,50,False
CTE,36.06,37.8,43,False
TIIL,37.4,34.84,45,False
HINDZINC,54.94,65.88,69,False
TVSSRICHAK,46.43,57.41,52,False
REDINGTON,51.79,51.05,60,False
PGIL,53.64,54.71,65,False
ORIENTBELL,46.24,44.71,40,False
SEQUENT,43.91,51.85,57,False
PFC,59.06,49.77,48,False
FSL,39.53,42.65,59,False
INDIANB,65.68,71.46,73,False
TTL,33.03,22.74,37,False
TFL,55.77,48.08,52,False
SMSPHARMA,57.06,60.08,68,True
HSCL,52.17,49.44,54,False
ORIENTALTL,20.93,31.46,42,False
APOLLOPIPE,38.89,27.1,21,False
IDEA,61.34,60.46,51,False
POCL,38.44,49.72,66,False
AMDIND,35.42,35.6,37,False
GODREJAGRO,39.57,29.96,44,False
RAJTV,43.06,37.0,44,False
PAGEIND,21.75,22.48,40,False
ASTRAL,55.79,52.33,46,False
SANOFI,20.66,20.36,26,False
LAOPALA,30.81,28.38,31,False
JKTYRE,68.13,77.6,59,False
NAHARSPING,36.41,32.32,36,False
NAHARPOLY,40.55,38.17,48,False
EMBDL,33.55,30.48,34,False
DIVGIITTS,52.35,49.63,39,False
HLVLTD,32.43,25.12,16,False
GOKULAGRO,38.15,45.71,60,False
THEMISMED,28.14,25.88,32,False
NCLIND,29.52,35.57,40,False
BALAMINES,40.4,35.39,33,False
BANSWRAS,41.21,35.98,37,False
ICRA,57.94,51.6,56,False
DISHTV,38.39,28.62,20,False
PHOENIXLTD,40.8,51.41,62,False
AROGRANITE,29.27,32.57,31,False
SRHHYPOLTD,25.02,30.17,42,False
FORTIS,39.22,44.39,66,False
ALPHAGEO,40.24,38.77,41,False
GSLSU,37.91,41.11,27,False
TGBHOTELS,35.31,32.97,35,False
CHEMBOND,40.26,26.99,28,False
HILTON,22.83,24.49,27,False
ACCURACY,23.7,21.84,22,False
INSECTICID,30.57,29.17,46,False
KMSUGAR,33.13,32.98,41,False
AKZOINDIA,23.42,31.85,49,False
NAVINFLUOR,62.14,67.6,71,True
GOACARBON,37.78,33.44,34,False
NAGREEKEXP,40.06,41.08,40,False
TIMETECHNO,40.25,38.29,57,False
HGS,33.75,30.75,29,False
DLF,38.8,37.03,41,False
ADVANIHOTR,48.35,45.75,41,False
IDBI,51.94,54.49,57,False
NELCAST,30.34,29.84,36,False
V2RETAIL,43.53,48.56,67,False
TARMAT,56.47,49.23,39,False
SPARC,40.74,40.79,25,False
REPL,48.03,34.27,38,False
ADSL,29.94,31.64,40,False
IFBAGRO,46.68,59.89,73,False
WSI,46.46,46.61,39,False
DECCANCE,22.41,28.15,44,False
VIPCLOTHNG,34.45,31.47,36,False
ALPA,38.43,31.14,39,False
IFBIND,18.83,29.88,45,False
OMAXE,52.19,43.05,46,False
USK,32.31,24.48,32,False
ASIANTILES,53.78,58.43,54,False
AKI,30.98,30.74,24,False
CENTRALBK,51.99,48.68,37,False
SAHYADRI,50.1,42.37,35,False
KDDL,48.95,43.03,45,False
IFCI,52.05,50.96,50,False
KPRMILL,38.47,36.26,48,False
PURVA,45.18,41.1,48,False
LAL,34.06,27.81,30,False
CIEINDIA,53.24,49.41,47,False
RBA,46.44,37.35,29,False
MOTILALOFS,33.67,36.13,55,False
INDOWIND,26.66,31.27,32,False
MAGNUM,46.73,41.69,26,False
CSBBANK,50.16,55.86,59,False
SHIVAMILLS,28.65,24.3,31,False
KSCL,51.14,41.37,51,False
POWERGRID,39.58,35.39,49,False
CENTUM,46.87,48.14,56,False
MAANALU,61.39,66.48,56,False
BAJAJELEC,35.94,26.53,24,False
CERA,28.65,29.26,36,False
DELTACORP,37.94,26.62,27,False
ENERGYDEV,41.73,42.39,39,False
AVALON,43.18,44.74,56,False
BLAL,34.47,34.9,44,False
RELIGARE,46.34,45.59,50,False
ASTERDM,29.43,38.19,58,False
ADANIPORTS,47.19,50.43,56,False
EDELWEISS,49.81,49.65,57,False
INDHOTEL,42.67,40.78,55,False
SVLL,31.47,37.81,65,False
KOLTEPATIL,41.24,39.86,43,False
RGL,34.66,40.92,48,False
COLPAL,43.21,38.99,44,False
JYOTHYLAB,27.04,21.76,29,False
INDIACEM,60.09,64.34,71,True
MADHAV,39.14,36.37,33,False
KALYANIFRG,43.08,41.38,54,False
RHL,27.04,28.03,46,False
HITECHCORP,30.46,32.79,38,False
TARIL,26.81,20.95,45,False
ECLERX,55.09,58.51,67,False
KIRLPNU,58.7,47.74,57,False
BRIGADE,28.29,29.7,41,False
MANAKSIA,48.72,43.65,31,False
ARIES,47.78,45.93,52,False
PPAP,32.74,39.57,46,False
INDIAGLYCO,38.84,46.61,58,False
DVL,29.27,30.87,32,False
PATINTLOG,37.28,31.64,37,False
UJJIVANSFB,72.21,78.71,63,False
AMBIKCO,56.45,44.67,43,False
BIRLAMONEY,29.96,31.29,47,False
CEATLTD,48.57,54.68,60,False
RPOWER,31.15,32.24,45,False
JKIL,48.84,37.23,44,False
CORDSCABLE,45.07,43.47,51,False
ONMOBILE,30.85,37.1,37,False
KNRCON,47.06,30.98,38,False
HERCULES,51.18,39.83,36,False
INDIANHUME,51.75,50.17,57,False
BANG,33.78,38.28,45,False
SEPC,39.03,33.56,30,False
IRB,50.48,43.3,36,False
NMDC,57.23,60.01,60,True
RAIN,67.65,61.93,52,False
SHALPAINTS,35.7,33.24,25,False
GSS,24.34,18.44,13,False
RECLTD,52.89,48.01,45,False
NAHARCAP,37.98,33.61,41,False
VGUARD,62.13,49.17,55,False
PDMJEPAPER,27.25,28.38,47,False
MANKIND,40.02,34.32,48,False
RACE,16.24,17.59,21,False
EIHAHOTELS,41.51,35.93,48,False
APCOTEXIND,50.44,48.04,44,False
ATAM,35.99,33.36,31,False
NESCO,40.0,41.46,56,False
TITAGARH,53.65,46.17,46,False
DPSCLTD,30.63,25.1,28,False
RKEC,26.87,31.36,37,False
HCG,27.06,38.06,58,False
AVG,38.95,30.51,35,False
ATALREAL,61.8,72.2,68,True
APOLLOHOSP,44.65,43.05,52,False
GMMPFAUDLR,27.59,35.45,40,False
GILLETTE,60.68,47.5,57,False
TARC,50.85,48.31,49,False
HINDWAREAP,28.4,30.33,35,False
MGEL,38.68,39.93,49,False
INFY,56.01,58.85,55,False
INGERRAND,41.44,40.59,48,False
PRINCEPIPE,31.46,29.84,27,False
BHARATWIRE,45.68,45.8,35,False
FAIRCHEMOR,43.32,35.32,38,False
PAVNAIND,21.99,28.16,30,False
TATAINVEST,30.1,38.13,49,False
IOC,58.12,62.32,61,True
INFIBEAM,44.65,43.79,32,False
LINDEINDIA,52.57,44.51,51,False
BECTORFOOD,35.72,34.82,45,False
APOLLOTYRE,38.87,51.24,50,False
IONEXCHANG,44.77,31.91,40,False
IPCALAB,57.21,55.49,59,False
MMP,45.06,44.07,50,False
VAISHALI,28.97,20.22,31,False
ANDHRAPAP,45.03,36.1,28,False
ITC,19.12,18.79,35,False
KIRIINDUS,33.46,37.61,48,False
ANIKINDS,32.7,26.41,44,False
BAJAJ-AUTO,65.98,65.42,62,False
BAJAJFINSV,40.14,43.72,56,False
PTCIL,56.91,63.35,67,False
GHCLTEXTIL,52.64,45.52,48,False
GOKUL,32.92,36.59,37,False
UBL,26.87,23.09,38,False
ALMONDZ,40.18,35.17,43,False
HGINFRA,29.7,25.95,40,False
RPGLIFE,30.25,36.57,51,False
MKPL,37.72,29.6,26,False
ITI,41.64,44.77,47,False
GVT&D,65.03,61.8,80,False
ARCHIDPLY,46.26,38.8,48,False
IVP,45.36,41.35,38,False
VINYLINDIA,29.13,30.48,34,False
IKIO,20.79,26.59,24,False
KOKUYOCMLN,32.96,28.09,38,False
SINDHUTRAD,45.28,43.19,44,False
LPDC,37.1,34.62,38,False
DPWIRES,30.71,34.03,28,False
TOUCHWOOD,38.76,41.03,39,False
ARTEMISMED,47.83,48.95,55,False
ZFCVINDIA,68.16,61.29,52,False
20MICRONS,39.89,31.34,48,False
JOCIL,31.52,30.09,30,False
INDBANK,46.14,48.63,44,False
ASHOKAMET,35.61,27.03,35,False
ALKALI,25.24,30.17,34,False
COUNCODOS,34.04,36.32,46,False
TPHQ,44.64,36.53,43,False
GATECHDVR,32.82,30.82,4,False
MAWANASUG,49.2,40.28,46,False
PATANJALI,31.61,31.35,45,False
THYROCARE,39.63,50.13,62,False
HMAAGRO,29.59,32.77,25,False
URAVIDEF,38.19,25.69,40,False
CROMPTON,19.04,17.03,39,False
SUMICHEM,34.02,31.06,45,False
PARAGMILK,33.02,44.6,54,False
IDEAFORGE,55.58,48.18,42,False
AARTECH,34.67,35.74,47,False
SHRIPISTON,50.08,54.95,65,False
CYIENTDLM,37.87,35.84,37,False
PAKKA,35.59,26.02,26,False
JAYSREETEA,28.59,30.86,39,False
ALBERTDAVD,31.28,31.41,35,False
JBCHEPHARM,57.66,60.12,59,False
ARMANFIN,54.93,53.27,43,False
ASPINWALL,30.96,27.63,36,False
SENCO,44.62,41.2,47,False
BLS,21.39,27.16,39,False
NAGAFERT,54.03,44.69,32,False
AJMERA,9.95,17.68,35,False
LLOYDSME,33.36,34.5,55,False
MHRIL,40.81,36.37,37,False
SALONA,46.82,47.0,43,False
GKWLIMITED,49.81,45.82,50,False
UTKARSHBNK,34.58,28.78,19,False
VINATIORGA,36.24,33.68,45,False
ADANIPOWER,38.35,48.1,56,False
PREMEXPLN,50.47,47.24,56,False
NHPC,50.76,45.94,46,False
GLOBUSSPR,35.28,40.26,50,False
NETWEB,46.11,52.45,62,False
OIL,77.47,69.46,63,False
CONTROLPR,36.06,37.35,34,False
EXPLEOSOL,39.48,38.76,42,False
INCREDIBLE,43.22,39.94,45,False
SETCO,38.6,36.94,51,False
RTNPOWER,38.49,30.87,44,False
MGL,34.24,31.57,41,False
DAMODARIND,20.35,23.3,28,False
AMRUTANJAN,26.4,30.41,46,False
JINDALPOLY,27.63,24.32,40,False
ASALCBR,37.84,38.87,52,False
MAHEPC,38.91,38.68,42,False
MOLDTECH,25.29,36.12,37,False
ZYDUSWELL,59.37,53.87,61,False
SUNTECK,48.51,45.88,46,False
POKARNA,37.41,38.72,51,False
UNIVPHOTO,32.91,35.08,34,False
ALOKINDS,41.84,35.43,26,False
GPTINFRA,48.4,42.98,50,False
QUESS,50.78,31.87,35,False
DEN,34.5,31.48,26,False
ASTEC,34.92,35.58,41,False
YATHARTH,34.73,38.54,55,False
NIITMTS,65.33,61.18,49,False
SHILPAMED,38.88,33.79,51,False
SARDAEN,50.41,46.92,61,False
REFEX,27.17,26.36,47,False
GROBTEA,28.63,38.66,46,False
ATL,35.43,36.87,28,False
SOMICONVEY,21.85,27.2,44,False
TREL,52.92,36.84,27,False
LLOYDSENGG,31.25,31.33,45,False
LTIM,48.28,59.02,57,False
KANPRPLA,39.13,40.99,54,False
AHLUCONT,39.33,42.17,49,False
GILLANDERS,23.9,32.78,40,False
DLINKINDIA,50.2,41.79,54,False
REDTAPE,47.57,43.88,44,False
JSWENERGY,43.03,39.53,46,False
GODREJPROP,25.24,31.75,38,False
DBCORP,42.63,42.61,43,False
GATECH,39.13,37.35,27,False
ABBOTINDIA,40.2,33.62,49,False
BAYERCROP,46.52,37.68,42,False
BEARDSELL,35.9,37.02,36,False
HINDCOPPER,73.07,85.25,79,False
MMTC,54.67,51.22,48,False
NESTLEIND,64.25,62.74,58,False
AWHCL,62.26,54.96,51,False
SBICARD,24.56,32.32,47,False
TRF,50.11,41.65,50,False
UNITEDTEA,66.22,54.94,61,False
WHIRLPOOL,17.31,25.58,40,False
VLEGOV,29.53,27.93,42,False
JYOTISTRUC,44.16,30.17,32,False
SBFC,22.63,30.17,43,False
MBLINFRA,33.59,26.55,37,False
ADVENZYMES,50.75,45.89,44,False
MINDTECK,54.66,50.24,53,False
KABRAEXTRU,39.69,34.37,35,False
